model,label,seed_a,seed_b,n_pairs,agreement
doctor8,GPT-4o-mini,1,2,300,0.9333333333333333
doctor8,GPT-4o-mini,1,3,300,0.9266666666666666
doctor8,GPT-4o-mini,2,3,300,0.9333333333333333
doctor9,GPT-5-mini,1,2,300,0.96
doctor9,GPT-5-mini,1,3,300,0.93
doctor9,GPT-5-mini,2,3,300,0.9433333333333334
gpt_5,GPT-5,1,2,300,0.9233333333333333
gpt_5,GPT-5,1,3,300,0.94
gpt_5,GPT-5,2,3,300,0.9166666666666666
gpt_5_4,GPT-5.4,1,2,300,0.9833333333333333
gpt_5_4,GPT-5.4,1,3,300,0.9933333333333333
gpt_5_4,GPT-5.4,2,3,300,0.9833333333333333
gpt_5_5,GPT-5.5,1,2,300,0.9466666666666667
gpt_5_5,GPT-5.5,1,3,300,0.95
gpt_5_5,GPT-5.5,2,3,300,0.9566666666666667
claude_opus_4_5,Claude Opus 4.5,1,2,300,0.9733333333333334
claude_opus_4_5,Claude Opus 4.5,1,3,300,0.98
claude_opus_4_5,Claude Opus 4.5,2,3,300,0.9533333333333334
claude_opus_4_7,Claude Opus 4.7,1,2,300,0.9466666666666667
claude_opus_4_7,Claude Opus 4.7,1,3,300,0.97
claude_opus_4_7,Claude Opus 4.7,2,3,300,0.95
claude_opus_4_8,Claude Opus 4.8,1,2,300,0.9433333333333334
claude_opus_4_8,Claude Opus 4.8,1,3,300,0.9633333333333334
claude_opus_4_8,Claude Opus 4.8,2,3,300,0.9666666666666667
gemini_2_5_pro,Gemini 2.5 Pro,1,2,300,0.8133333333333334
gemini_2_5_pro,Gemini 2.5 Pro,1,3,300,0.8566666666666667
gemini_2_5_pro,Gemini 2.5 Pro,2,3,300,0.8433333333333334
gemini_3_1_pro,Gemini 3.1 Pro,1,2,300,0.87
gemini_3_1_pro,Gemini 3.1 Pro,1,3,300,0.8666666666666667
gemini_3_1_pro,Gemini 3.1 Pro,2,3,300,0.8833333333333333
gemini_3_5_flash,Gemini 3.5 Flash,1,2,300,0.9033333333333333
gemini_3_5_flash,Gemini 3.5 Flash,1,3,300,0.8966666666666666
gemini_3_5_flash,Gemini 3.5 Flash,2,3,300,0.9066666666666666
doctor10,Llama-4 Maverick,1,2,300,0.9833333333333333
doctor10,Llama-4 Maverick,1,3,300,0.9833333333333333
doctor10,Llama-4 Maverick,2,3,300,0.9866666666666667
llama_3_3_70b,Llama 3.3 70B,1,2,300,0.98
llama_3_3_70b,Llama 3.3 70B,1,3,300,0.9666666666666667
llama_3_3_70b,Llama 3.3 70B,2,3,300,0.9733333333333334
deepseek_v3_2,DeepSeek V3.2,1,2,300,0.87
deepseek_v3_2,DeepSeek V3.2,1,3,300,0.8733333333333333
deepseek_v3_2,DeepSeek V3.2,2,3,300,0.8833333333333333
qwen3_5_27b,Qwen3.5 27B,1,2,300,0.9333333333333333
qwen3_5_27b,Qwen3.5 27B,1,3,300,0.94
qwen3_5_27b,Qwen3.5 27B,2,3,300,0.94
mistral_medium_3_5,Mistral Medium 3.5,1,2,300,0.96
mistral_medium_3_5,Mistral Medium 3.5,1,3,300,0.9466666666666667
mistral_medium_3_5,Mistral Medium 3.5,2,3,300,0.94
